ID_ViThuoc,TenVietNam,TenGoiKhac,TenKhoaHoc,HoThucVat,CongDung,LieuDung,TinhVi,QuyKinh
15,Đài Hái,"du qua, dây mỡ lợn, dây hái",Hodgsonia macrocarpa (Blume) Cogn.,Cucurbitaceae (Bí),(Kinh nghiệm Inđônêxya) Dầu hạt xoa bóp cho phụ nữ sau sinh; lá chữa loét mũi.,(Không dùng trong ở VN).,(Không ghi rõ),(Không ghi rõ)
16,Cỏ Đuôi Lươn,"bồn bồn, điền thông",Philydrum lanuginosum Banks,Philydraceae,"Chữa bệnh hậu sản. Dùng ngoài rửa chỗ lở loét, sưng đau.",10-15g/ngày (dạng thuốc sắc).,(Không ghi rõ),(Không ghi rõ)
17,Đương Quy,"tần quy, vân quy",Angelica sinensis (Oliv.) Diels,Apiaceae (Hoa tán),"Bổ huyết, hoạt huyết, điều kinh, thông kinh, nhuận tràng. Chữa kinh nguyệt không đều, đau bụng kinh, thiếu máu.",6-15g/ngày (dạng thuốc sắc hoặc rượu thuốc).,"Vị ngọt, cay, tính ôn.","Tâm, Can, Tỳ."
18,Huyết Giác,"cây xó nhà, dứa dại, giáng ông",Pleomele cochinchinensis Merr.,Alliaceae (Hành),"Chữa ứ huyết, bị thương bầm tím, kinh nguyệt bế tắc .",10-20g/ngày (dạng thuốc sắc hoặc ngâm rượu).,(Không ghi rõ),(Không ghi rõ)
19,Mướp (Xơ mướp),"ty qua, thiên ty qua, ty lạc",Luffa cylindrica (L.) Roem,Cucurbitaceae (Bí),"(Quả) lợi sữa. (Xơ) hoạt huyết, thông kinh, cầm máu, giải độc. (Lá) chữa bệnh zona.",5-10g xơ mướp/ngày (sắc hoặc đốt tồn tính).,"(Quả) ngọt, tính bình, không độc.",(Không ghi rõ)
20,Nhội,"thu phong, ô dương, trọng dương mộc",Bischofia trifoliata (Roxb.) Hook.f.,Euphorbiaceae (Thầu dầu),"Chữa ỉa chảy, khí hư do trùng roi âm đạo (Trichomonas vaginalis).",20-40g lá tươi/ngày (nấu nước uống).,(Không ghi rõ),(Không ghi rõ)
21,Ô Rô,"đại kế, thích kế, dã hồng hoa",Cirsium japonicum (DC.) Maxim,Asteraceae (Cúc),"Chữa thổ huyết, máu cam, tiểu ra máu, băng đới, chảy máu do chấn thương. Mát huyết, tiêu thũng, thông sữa .","6-12g (khô, phối hợp) hoặc 40-60g (khô, riêng) hoặc 100-180g (tươi) .","Vị ngọt, đắng, tính mát.",(Không ghi rõ)
22,Thiên Lý,"cây hoa lý, dạ lài hương",Telosma cordata (Burm.f.) Merr.,Asclepiadaceae (Thiên lý),"Chữa lòi dom, sa dạ con. Hoa và lá non nấu canh ăn cho mát và bổ .",Dùng ngoài: 100g lá tươi giã với muối đắp .,(Không ghi rõ),(Không ghi rõ)
23,Bạch Thược,(Không có),Paeonia lactiflora Pall.,Ranunculaceae (Mao Lương),"Nhuận gan, giảm đau, dưỡng huyết, liễm âm, lợi tiểu. Chữa đau bụng, tả lỵ, kinh nguyệt không đều .",6-12g/ngày (dạng thuốc sắc).,"Vị đắng, chua, hơi hàn.","Can, Tỳ, Phế."
24,Xích Thược,(Không có),Paeonia lactiflora Pall. (và các loài khác),Ranunculaceae (Mao Lương),"Tán tà, hành huyết. Chữa chảy máu cam, băng huyết, bạch đới .",6-8g/lần (dạng bột).,(Tương tự Bạch Thược).,(Tương tự Bạch Thược).
25,Bọ Mẩy,"đại thanh, đắng cay, mẩy kỳ cáy, bọ nẹt",Clerodendron cyrtophyllum Turcz.,Verbenaceae (Cỏ roi ngựa),"Dùng cho phụ nữ sau khi sinh (ăn ngon cơm, chóng lại sức). Chữa sốt phát ban, viêm amidan, lỵ .",10-15g/ngày.,(Không ghi rõ),(Không ghi rõ)
26,"Mít (Lá, Gỗ)","mac mi, may mi, khnor",Artocarpus integrifolia L.f.,Moraceae (Dâu tằm),"(Lá) lợi sữa. (Gỗ, lá) an thần, chữa huyết áp cao, co quắp, ỉa chảy, ăn không tiêu .",Lá: 30-40g tươi. Gỗ: 6-10g mài uống.,(Không ghi rõ),(Không ghi rõ)
27,Cửu Lý Hương,"rue fetide, văn hương",Ruta graveolens L.,Rutaceae (Cam),"Hành khí, giảm đau, hoạt huyết, tán ứ. Chữa sưng đau do chấn thương, phong thấp, điều kinh .",0.05-0.10g/ngày (điều kinh).,"Cay, khí lương, ôn, không độc.","Tâm, Phế, Thận."
28,Duyên Hồ Sách,"huyền hồ sách, nguyên hồ",Corydalis ambigua Ch. et Schl.,Papaveraceae (Thuốc phiện),"Hoạt huyết, tán ứ, lợi khí, giảm đau. Dùng chữa đau bụng, khí hư, ho có đờm, chảy máu cam.","6-12g/ngày (sắc, bột, viên).","Tính ôn, vị cay, hơi đắng, không độc.","Phế, Can, Tỳ."
29,Bồ công anh Việt Nam,"rau bồ cóc, diếp hoang, diếp dại",Lactuca indica L.,Asteraceae (Cúc),"Chữa sưng vú, tắc tia sữa, mụn nhọt, đinh râu, đau dạ dày, ăn uống kém tiêu .",20-40g lá tươi hoặc 10-15g lá khô.,(Không ghi rõ),(Không ghi rõ)
30,Bồ công anh Trung Quốc,"hoàng hoa địa đính, nãi chấp thảo",Taraxacum officinale Wigg.,Asteraceae (Cúc),"Giải độc, thanh nhiệt, lương huyết, tán kết, thông sữa, lợi tiểu. Chữa sưng vú, mụn nhọt, tiểu tiện khó khăn.",4-12g/ngày (dạng thuốc sắc).,"Vị ngọt, đắng, tính hàn.","Tỳ, Vị."
31,Chỉ Thiên,bồ công anh (cách gọi ở miền Nam),Elephantopus scaber L.,Asteraceae (Cúc),(Thông tin chi tiết ở mục riêng) .,(Thông tin chi tiết ở mục riêng),(Thông tin chi tiết ở mục riêng),(Thông tin chi tiết ở mục riêng)
32,Kim Ngân,Nhẫn đông,Lonicera japonica Thunb.,Caprifoliaceae (Cơm cháy),"Thanh nhiệt, giải độc. Chữa mụn nhọt, rôm sảy, sởi, tả lỵ, giang mai, sốt, thấp khớp, dị ứng.","4-6g hoa hoặc 10-12g cành lá/ngày (sắc, cao, rượu).","Vị ngọt, tính hàn, không độc.","Phế, Vị, Tâm, Tỳ."
33,Cây Ké Đầu Ngựa,"thương nhĩ, phắt ma",Xanthium strumarium L.,Asteraceae (Cúc),"Tán phong, làm ra mồ hôi. Chữa phong hàn đau nhức, phong thấp, mụn nhọt, lở loét, bướu cổ, viêm mũi.",4-5g quả hoặc 6-8g cao/ngày.,"Vị ngọt, tính ôn, hơi có độc.",Phế kinh.
34,Hạ Khô Thảo,(Không có),Brunella vulgaris L.,Lamiaceae (Hoa môi),"Thanh can hỏa, tán uất kết, tiêu ứ, sáng mắt. Chữa loa lịch (tràng nhạc), mụn nhọt, đau mắt, cao huyết áp.",6-15g/ngày (dạng thuốc sắc).,"Vị đắng, cay, tính hàn, không độc.","Can, Đởm."
35,Cây Xà Sàng,cây giần sàng,Cnidium monnieri (L.) Cuss.,Umbelliferae (Hoa tán),"Cường dương, ích thận, khử phong, táo thấp. Chữa liệt dương, ngứa bộ phận sinh dục, khí hư, lạnh tử cung.",4-12g/ngày (dạng thuốc sắc uống).,"Vị cay đắng, tính bình, hơi có độc.","Thận, Tam tiêu."
36,Bưởi Bung,"cây cơm rượu, cát bối",Glycosmis pentaphylla Corr.,Rutaceae (Cam),"Giúp tiêu hóa, phục hồi sức khỏe phụ nữ sau sinh. Dùng ngoài sát trùng, chữa mụn ổ gà.",6-16g lá khô/ngày (dạng thuốc sắc).,(Không ghi rõ),(Không ghi rõ)
37,Cây Mã Tiên Thảo,"cỏ roi ngựa, Verveine",Verbena officinalis L.,Verbenaceae (Cỏ roi ngựa),"Phá huyết, sát trùng, thông kinh. Chữa lở ngứa hạ bộ, tiêu chướng, đắp mụn nhọt, sưng vú.",6-12g khô hoặc 25-50g tươi/ngày.,"Vị đắng, hơi hàn.","Can, Tỳ ."
38,Con Rết,"ngô công, thiên long, bách túc trùng",Scolopendra morsitans L.,Scolopendridae (Ngô công),"Trừ phong, trấn kinh, giải độc rắn cắn. Chữa mụn nhọt, chốc đầu, sang trĩ đau nhức .","Uống: 0.5g bột, 3 lần/ngày. Bôi ngoài: rượu rết, bột rết.","Vị cay, tính ôn, có độc .",Can.
39,Sài Đất,"húng trám, ngổ núi, cúc nháp, giáp",Wedelia calendulacea (L.) Less,Asteraceae (Cúc),"Chữa mụn nhọt, lở loét, rôm sảy, chốc đầu, đau mắt, viêm bàng quang, sốt rét.",50g cây tươi/ngày.,(Không ghi rõ),(Không ghi rõ)
40,Bạch Hạc,"kiến cò, cây lác, nam linh chi",Rhinacanthus nasuta (L.) Kurz,Acanthaceae (Ô rô),"Chữa hắc lào, chốc lở, mụn rộp loang vòng (herpes circiné), eczema mãn tính.","Rễ tươi/khô giã nhỏ ngâm rượu bôi, hoặc nấu cao bôi.",(Không ghi rõ),(Không ghi rõ)
41,Bạch Hoa Xà,"bạch tuyết hoa, cây chiến",Plumbago zeylanica L.,Plumbaginaceae (Đuôi công),"Chữa bệnh ngoài da, nhức mỏi, sưng đau, rắn cắn, đau gan, đau xương, đau bụng.","Đắp ngoài, không kể liều lượng.","Tính ăn da, làm phồng da.",(Không ghi rõ)
42,Bảy Lá Một Hoa,"độc cước liên, thiết đăng đài, chi hoa",Paris polyphylla Sm.,Liliaceae (Hành),"Thanh nhiệt giải độc. Chữa mụn nhọt, viêm tuyến vú, sốt rét, ho lao, hen suyễn, rắn độc cắn.",4-12g/ngày (dạng thuốc sắc).,"Vị ngọt, hơi cay, tính bình, không độc.",(Không ghi rõ)
43,Bèo Cái,"bèo ván, bèo tai tượng, thủy phù liên",Pistia stratiotes L.,Araceae (Ráy),"Chữa mụn nhọt, mẩn ngứa (ngoài); ho, hen, suyễn, thông kinh, lợi tiểu (trong).",50-100g tươi/ngày.,(Không ghi rõ),(Không ghi rõ)
44,Bồ Cu Vẽ,"bọ mắm, gà, bò long anh, sầu vẽ",Breynia fruticosa Hool. F.,Euphorbiaceae (Thầu dầu),"Chữa rắn cắn, cam máu, vú có chất sần, mụn nhọt, vết lở loét.","30-40g lá tươi giã vắt nước uống, bã đắp.",(Không ghi rõ),(Không ghi rõ)
45,Bùng Bục,"bục bục, bông bét, cây lá ngón kok po hou",Mallotus barbatus Muell. Arg.,Euphorbiaceae (Thầu dầu),"Dùng lá ép đắp để dễ đẻ. Lá có tác dụng sát trùng, làm lên da non ở mụn nhọt.","Dùng ngoài, không kể liều lượng.",(Không ghi rõ),(Không ghi rõ)
46,Cà dại hoa vàng,"cây cà gai, cây cựa, lão thử lặc",Argemone mexicana L.,Papaveraceae (Thuốc phiện),"Gây say, có tác dụng tẩy. Đắp mụn cơm, bệnh ngoài da. Hạt dùng làm thuốc gây nôn.",(Không dùng trong).,(Không ghi rõ),(Không ghi rõ)
47,Cào bản,(Không có),Ligusticum jeholense Nak. et Kitaga,Apiaceae (Hoa tán),"Chữa nhức đầu, phong hàn, thấp tà, trùng lỵ, ung nhọt, sang lở. Dùng gội đầu cho sạch gầu.",3-6g/ngày (dạng thuốc sắc).,"Vị cay, ôn, không độc.",(Không ghi rõ)
48,Chó đẻ răng cưa,"diệp hạ châu, diệp hòe thái, lão nha châu",Phyllanthus urinaria L.,Euphorbiaceae (Thầu dầu),"Chữa bệnh gan, chữa sốt, đau mắt, rắn cắn.","20-40g cây tươi/ngày, sao khô sắc đặc uống.",(Không ghi rõ),(Không ghi rõ)
49,Cúc liên chỉ dại,"cây éch cành, Camomille sauvage",Parthenium hysterophorus L.,Compositae (Cúc),"Chữa nhức đầu, bồi bổ, hạ sốt.","(Không rõ, có thể độc).",(Không ghi rõ),(Không ghi rõ)
50,Dâm bụt,"bụp (miền Nam), xuyên cân bì",Hibiscus rosa-sinensis L.,Malvaceae (Bông),"(Lá, hoa) đắp mụn nhọt đang nung mủ. (Vỏ rễ) chữa xích và bạch ly, bạch đới khí, rửa mụn nhọt.","Dùng ngoài, không kể liều lượng.",(Không ghi rõ),(Không ghi rõ)
51,Ké hoa đào,"phan thiên hoa, tiêu phan thán, bái cúc",Urena lobata L.,Malvaceae (Bông),"Tán phong, hoạt huyết, hạ sốt. Chữa cảm mạo, mình nóng không có mồ hôi, chân tay đau buốt.",40-80g cây khô/ngày.,"Vị nhạt, hơi ngọt, tính lương, không độc.",(Không ghi rõ)
52,Ké hoa vàng,"ké đồng tiền, bạch bối hoàng hoa niêm",Sida rhombifolia L.,Malvaceae (Bông),"Làm thuốc mát chữa mụn nhọt, tiểu tiện nóng đỏ, đái dắt, sốt, lỵ.",40-80g tươi hoặc 20-40g khô/ngày.,(Không ghi rõ),(Không ghi rõ)
53,Khế,"khế com, khế giang, ngũ lăng tử",Averrhoa carambola L.,Oxalidaceae (Chua me đất),"(Lá) chữa mẩn ngứa, lở loét, sưng đau. (Quả) ép uống chữa bệnh scobut (thiếu vitamin C).",Lá: 100-150g nấu nước xông và tắm.,"(Lá) vị chua, tính sáp, độc. (Quả) chua, ngọt.",(Không ghi rõ)
54,Liên kiều,"trúc căn, hoàng thọ đan, hạn liên",Forsythia suspensa Vahl.,Oleaceae (Nhài),"Thanh nhiệt, giải độc, tiêu viêm, tan mủ. Chữa mụn nhọt, ghẻ lở, tràng nhạc, ban, sưng vú, thông kinh nguyệt.",6-12g/ngày (dạng thuốc sắc).,"Vị đắng, tính hàn, không độc.","Tâm, Đởm, Tam tiêu, Đại trường."
55,Máu chó,muscadier à suif,Knema corticosa Lour.,Myristicaceae (Nhục đậu khấu),Hạt ép lấy dầu dùng chữa ghẻ.,Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
56,Lá móng tay,"cây lá móng, móng tay nhuộm, chỉ giáp hoa",Lawsonia inermis L.,Lythraceae (Tử vi),"Nhuộm móng tay. Chữa hắc lào, da vàng, bệnh hủi, lở loét, bệnh gan, bệnh tử cung, lở miệng, bại liệt.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
57,Mù u,"đồng hồ, kụng tung",Calophyllum inophyllum L.,Măng cụt,"Chữa mụn nhọt, ghẻ, bỏng. Thụt để điều trị trĩ, viêm loét, sa dạ con. Xoa bóp trị thấp khớp.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
58,Niệt gió,"cò gối là, gió niệt, gió giổi, thiết giang",Wikstroemia viridiflora Meissn,Thymeleaceae (Trầm),"Sát trùng, chữa mụn nhọt. Đắp lên những nơi sưng đau.",8-12g rễ hay lá/ngày.,"Vị đắng, hơi cay, tính lạnh, có độc.",(Không ghi rõ)
59,Phù dung,"mộc liên, địa phù dung",Hibiscus mutabilis L.,Malvaceae (Bông),Đắp mụn nhọt đang mưng mủ để hút mủ và làm đỡ đau.,Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
60,Dầu rái trắng,"dầu nước, nhang, yang may vang",Dipterocarpus alatus Roxb.,Dipterocarpaceae (Dầu),Chữa vết loét.,Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
61,Cây rau má lá rau muống,"hồng bối diệp, dương đề thảo, nhất điểm hồng",Emilia sonchifolia (L) DC.,Asteraceae (Cúc),"Đắp chữa mụn nhọt; sắc uống chữa ho lâu ngày, ho lao, sốt. Nước sắc nhỏ mắt chữa đau mắt, nhỏ tai bị viêm.","30-40g tươi, có khi hơn. Dùng ngoài không kể liều.",Vị đắng.,(Không ghi rõ)
62,Rau má ngọ,"rau song chua dây, thồm lồm gai",Polygonum perfoliatum L.,Polygonaceae (Rau răm),"Giã nát đắp lên mụn nhọt, nơi rắn cắn, sâu bọ cắn.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
63,Tần cửu (thanh táo),"tần cừu, tần qua, tấn giao, thuốc trặc",Justicia gendarussa L.,Acanthaceae (Ô rô),"Chữa tê thấp, đau nhức xương, gân cốt sưng đau, ho. Đắp nơi sưng đau, gãy xương.",12-16g/ngày (dạng thuốc sắc).,"Vị cay, đắng, tính ôn.","Can, Thận."
64,Thanh đại,"chàm, chàm mèo, mạy sàm",Indigofera tinctoria L.,Papilionaceae (Cánh bướm),"Chữa trẻ em lên kinh phát nóng mê sảng, giải độc, chữa lở loét, mụn nhọt.",2-4g bột/ngày. Dùng ngoài không kể liều.,"Vị đắng, tính hàn, không độc.","Tâm, Phế, Can."
65,Thuốc bỏng,"cây sống đời, trường sinh, diệp sinh căn",Kalanchoe pinata (Lamk.) Pers,Crassulaceae (Thuốc bỏng),"Chữa bỏng, cầm máu, mụn nhọt, viêm loét dạ dày, trĩ nội, đi lỵ, viêm ruột.",Trong: 20-40g lá tươi/ngày. Ngoài: Giã nát đắp.,"Vị nhạt, hơi chua, tính mát.",(Không ghi rõ)
66,Thuốc giấu,"cỏ xước, ngưu tất nam",Achyranthes aspera L.,Amaranthaceae (Giền),"Chữa bệnh viêm cầu thận, phù thũng, thấp khớp, huyết áp cao, lợi tiểu.",15-20g rễ hoặc toàn cây/ngày (sắc).,"Vị đắng, chua, tính bình.",(Không ghi rõ)
67,Trầu không,"trầu, thược tương, mô-lu",Piper betle L.,Piperaceae (Hồ tiêu),"Chữa hàn thấp, nhức mỏi, đau bụng, đầy hơi, vết thương, mụn nhọt, lở loét. Sát trùng.",Trong: 8-10g/ngày (sắc). Ngoài: không kể liều.,"Vị cay nồng, mùi thơm hắc, tính ấm.","Phế, Tỳ, Vị."
68,Thơm lồm,"bù dẻ, đại kế, nghể",Polygonum chinense L.,Polygonaceae (Rau răm),"Giải độc, tiêu viêm. Chữa lỵ, tiêu chảy, viêm ruột, viêm hầu họng, viêm amidan, mụn nhọt, rắn cắn.",Trong: 10-15g/ngày (sắc). Ngoài: giã nát đắp.,(Không ghi rõ),(Không ghi rõ)
69,Đơn buốt,"đơn kim, quỷ châm thảo, cúc áo",Bidens pilosa L.,Asteraceae (Cúc),"Chữa mẩn ngứa, mày đay, dị ứng, viêm họng, viêm ruột, lỵ, tiêu chảy, đau răng.",10-15g/ngày (sắc).,"Vị đắng, nhạt, hơi cay, tính mát.",(Không ghi rõ)
70,Chè vằng,"cước man, dây vắng, mỏ sẻ",Jasminum subtriplinerve Blume,Oleaceae (Nhài),"Chữa rắn cắn, mụn nhọt. Giúp phụ nữ sau đẻ ăn ngon cơm, chóng lại sức.",Sắc uống không kể liều lượng.,(Không ghi rõ),(Không ghi rõ)
71,Cây ráy,(Không có),Alocasia macrorrhizos (L.) G.Don,Araceae (Ráy),"Chữa mụn nhọt, ghẻ, sưng bàn tay bàn chân. Chữa sốt rét, bệnh gút (thống phong).",Trong: 8-12g thân rễ khô/ngày (sắc). Ngoài: giã đắp.,"Vị nhạt, tính hàn, có độc.",(Không ghi rõ)
72,Ba chạc,"chè đắng, chè cỏ, ba giẳng",Evodia lepta (Spreng) Merr.,Rutaceae (Cam),"Chữa mụn nhọt, ghẻ lở, eczema. Giúp phụ nữ sau đẻ ăn ngon cơm.",10-15g cành lá hoặc rễ/ngày (sắc).,"Vị đắng, mùi thơm, tính lạnh.",(Không ghi rõ)
73,Bạc thau,"bạc sau, lá bạc, bạch diện diệp",Argyreia acuta Lour.,Convolvulaceae (Bìm bìm),"Chữa phụ nữ đẻ bị phù thũng, khí hư, bạch đới.",10-15g/ngày (sắc).,"Vị chua, hơi chát, tính bình.",(Không ghi rõ)
74,Bèo tây,"lục bình, bèo Nhật Bản",Eichhornia crassipes Solms,Pontederiaceae (Bèo tây),"Chữa sưng tấy, mưng mủ, viêm hạch bạch huyết, ho hen.",Trong: 10-15g/ngày. Ngoài: giã đắp.,(Không ghi rõ),(Không ghi rõ)
75,Bứa,(Không có),Garcinia oblongifolia Champ.,Clusiaceae (Bứa),"Chữa mẩn ngứa, lở loét, mụn nhọt, vết thương.",Dùng nhựa cây bôi ngoài.,(Không ghi rõ),(Không ghi rõ)
76,Dây đòn gánh,(Không có),Gouania leptostachya DC.,Rhamnaceae (Táo ta),"Giặt quần áo, gội đầu sạch gầu. Chữa mụn nhọt, lở ngứa.",Dùng ngoài.,(Không ghi rõ),(Không ghi rõ)
77,Đại phong tử,(Không có),Hydnocarpus anthelminthica Pierre,Flacourtiaceae (Bồ quân),"Chữa bệnh hủi (phong), bệnh ngoài da, ghẻ lở, giang mai.",0.3-1g/ngày (dạng viên).,"Vị cay, tính nóng, có độc.",(Không ghi rõ)
78,Đơn răng cưa,(Không có),Maesa indica Wall,Myrsinaceae (Đơn nem),Chữa rắn độc cắn.,"20-40g rễ tươi giã vắt nước uống, bã đắp.",(Không ghi rõ),(Không ghi rõ)
79,Đơn tướng quân,"bạch anh, bần biển, mạ dại",Clerodendron inerme (L.) Gaertn,Verbenaceae (Cỏ roi ngựa),"Chữa mụn nhọt, lở ngứa, chốc đầu.","Dùng ngoài, không kể liều lượng, giã đắp hoặc nấu nước rửa.",(Không ghi rõ),(Không ghi rõ)
80,Găng tu hú,"găng gai, mã nhãn tử, sơn thạch lựu",Catunaregam spinosa (Thunb.) Tirveng,Rubiaceae (Cà phê),"(Quả) gây nôn, chữa sốt rét. (Vỏ cây) chữa tiêu chảy, đi lỵ. (Lá) đắp lở loét, mụn nhọt.",1-2g quả (gây nôn); 1-1.5g vỏ cây (chữa lỵ).,(Không ghi rõ),(Không ghi rõ)
81,Huyết kiệt,(Không có),Dracaena cambodiana Pierre,Dracaenaceae (Huyết giác),"Chữa vết thương, cầm máu, an thần, chữa đau bụng.","0.2-0.5g/lần, 2-3 lần/ngày.",(Không ghi rõ),(Không ghi rõ)
82,Hương điệp,"é rừng, é quế, é to, é ta, húng dổi",Hyptis suaveolens (L.) Poit,Lamiaceae (Hoa môi),"Chữa cảm sốt, nhức đầu. Dùng ngoài chữa mụn nhọt, ghẻ lở.",6-12g/ngày (dạng thuốc sắc).,(Không ghi rõ),(Không ghi rõ)
83,Keo nước hoa,"cây keo, bông keo",Acacia farnesiana Willd,Mimosaceae (Trinh nữ),"(Lá) chữa lở loét. (Rễ) đau răng, nhức xương. (Hoa) an thần, giúp tiêu hóa. (Quả) chữa lỵ, bạch đới.",Hoa: 3-5g. Quả: 10-15g. Rễ: 6-12g.,(Không ghi rõ),(Không ghi rõ)
84,Khoai nưa,"nưa, củ nưa",Amorphophallus rivieri Durieu,Araceae (Ráy),"Chữa mụn nhọt độc, rắn cắn.",Dùng ngoài: củ tươi giã nhỏ đắp.,"Vị cay, tính ôn, có độc.",(Không ghi rõ)
85,Cây la,"bướm bướm, bươm bướm, cây hoa lá trắng",Mussaenda pubescens Ait.f.,Rubiaceae (Cà phê),"Giải độc, tiêu viêm. Chữa ho, viêm họng, viêm amidan.",15-30g cành lá hoặc 10-15g rễ/ngày (sắc).,"Vị ngọt, tính mát.",(Không ghi rõ)
86,Cà tàu,cà vú dê,Solanum mammosum L.,Solanaceae (Cà),"Đắp chữa mụn nhọt, chỗ da bị phồng.",Dùng ngoài: quả giã nhỏ đắp.,(Không ghi rõ),(Không ghi rõ)
